Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Patrolman,Roger Dale Carter,Gunfire,"Friday, December 31, 1993",1993,December,Friday,"Kannapolis Police Department, NC",North Carolina,0
K9,Zak,Gunfire (Inadvertent),"Wednesday, March 17, 1993",1993,March,Wednesday,"Norfolk Police Department, VA",Virginia,1
K9,Sam,Gunfire (Inadvertent),"Sunday, October 17, 1993",1993,October,Sunday,"Norristown Borough Police Department, PA",Pennsylvania,1
K9,Astor,Gunfire,"Wednesday, November 3, 1993",1993,November,Wednesday,"Kissimmee Police Department, FL",Florida,1
K9,Rolf,Stabbed,"Sunday, November 14, 1993",1993,November,Sunday,"Fort Lauderdale Police Department, FL",Florida,1
Wildlife Officer,Estevan Ortiz Escobedo,Aircraft accident,"Tuesday, January 4, 1994",1994,January,Tuesday,"Arizona Department of Game and Fish, AZ",Arizona,0
Officer,Sife Perdue,Motorcycle crash,"Wednesday, January 5, 1994",1994,January,Wednesday,"Columbus Police Department, GA",Georgia,0
Police Officer,Manuel Ocasio-Serrano,Gunfire,"Thursday, January 6, 1994",1994,January,Thursday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,Michael Paul Roman,Vehicle pursuit,"Thursday, January 6, 1994",1994,January,Thursday,"Houston Police Department, TX",Texas,0
Inspector,Stephen Glenn Stewart,Automobile crash,"Friday, January 7, 1994",1994,January,Friday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Police Officer,Glanville Christopher-Figueroa,Gunfire,"Sunday, January 9, 1994",1994,January,Sunday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,Steven Robert Rutherford,Gunfire,"Wednesday, January 12, 1994",1994,January,Wednesday,"Newport News Police Department, VA",Virginia,0
Police Officer,"Wyley Hart Shepherd, Sr.",Motorcycle crash,"Friday, January 14, 1994",1994,January,Friday,"Atlanta Police Department, GA",Georgia,0
Police Officer,Robert Buitrago,Gunfire,"Saturday, January 15, 1994",1994,January,Saturday,"Winston-Salem Police Department, NC",North Carolina,0
Officer,"William J. Snyder, Sr.",Struck by vehicle,"Sunday, January 16, 1994",1994,January,Sunday,"Groton City Police Department, CT",Connecticut,0
Police Officer,Clarence Wayne Dean,Motorcycle crash,"Monday, January 17, 1994",1994,January,Monday,"Los Angeles Police Department, CA",California,0
Park Ranger,"Robert E. Mahn, Jr.",Automobile crash,"Monday, January 17, 1994",1994,January,Monday,"United States Department of the Interior - National Park Service, US",United States,0
Officer,Ronald W. Feldner,Gunfire,"Thursday, January 20, 1994",1994,January,Thursday,"New Plymouth Police Department, ID",Idaho,0
Sergeant,William G. Paterson,Vehicle pursuit,"Tuesday, January 25, 1994",1994,January,Tuesday,"Lake County Sheriff's Department, IN",Indiana,0
Police Officer III,James E. Walch,Vehicle pursuit,"Tuesday, January 25, 1994",1994,January,Tuesday,"Montgomery County Police Department, MD",Maryland,0
Police Officer,Nicholas R. DeMutiis,Vehicle pursuit,"Tuesday, January 25, 1994",1994,January,Tuesday,"New York City Police Department, NY",New York,0
Deputy Sheriff,Ricky A. Yates,Motorcycle crash,"Tuesday, January 25, 1994",1994,January,Tuesday,"Harris County Sheriff's Office, TX",Texas,0
Deputy Sheriff,John Lester Beck,Heart attack,"Thursday, January 27, 1994",1994,January,Thursday,"Rowan County Sheriff's Office, NC",North Carolina,0
Deputy Sheriff,Ronald L. Coen,Automobile crash,"Thursday, January 27, 1994",1994,January,Thursday,"Franklin County Sheriff's Office, OH",Ohio,0
Agent,Daniel Allen Ross,Automobile crash,"Thursday, January 27, 1994",1994,January,Thursday,"24th & 25th Judicial District Narcotics Task Force, TX",Texas,0
Police Officer,Guy Patrick Gaddis,Gunfire,"Monday, January 31, 1994",1994,January,Monday,"Houston Police Department, TX",Texas,0
Chief of Police,Robert J. Mortell,Gunfire,"Tuesday, February 1, 1994",1994,February,Tuesday,"Paxton Police Department, MA",Massachusetts,0
Sergeant,Steven M. Shaw,Gunfire,"Thursday, February 3, 1994",1994,February,Thursday,"Providence Police Department, RI",Rhode Island,0
Detective,Robin Ann Arnold,Automobile crash,"Friday, February 4, 1994",1994,February,Friday,"Manistee County Sheriff's Department, MI",Michigan,0
Police Officer,Berisford Wayne Anderson,Gunfire,"Saturday, February 5, 1994",1994,February,Saturday,"Boston Police Department, MA",Massachusetts,0
Deputy Sheriff,William J. Urban,Heart attack,"Monday, February 7, 1994",1994,February,Monday,"Comal County Sheriff's Office, TX",Texas,0
Captain,Michael Wayne Tracy,Gunfire,"Monday, February 14, 1994",1994,February,Monday,"Palos Verdes Estates Police Department, CA",California,0
Sergeant,Vernon Thomas Vanderpool,Gunfire,"Monday, February 14, 1994",1994,February,Monday,"Palos Verdes Estates Police Department, CA",California,0
Patrolman,"David C. Douglass, Sr.",Gunfire,"Friday, February 18, 1994",1994,February,Friday,"Lower Township Police Department, NJ",New Jersey,0
Police Officer,Christy Lynne Brondell-Hamilton,Gunfire,"Tuesday, February 22, 1994",1994,February,Tuesday,"Los Angeles Police Department, CA",California,0
Deputy Sheriff,Michael Scott Welcker,Gunfire,"Thursday, February 24, 1994",1994,February,Thursday,"Salt Lake County Sheriff's Office, UT",Utah,0
Police Officer,George Dawson,Motorcycle crash,"Friday, February 25, 1994",1994,February,Friday,"Atlanta Police Department, GA",Georgia,0
Sergeant,John Edward Holbrook,Automobile crash,"Friday, February 25, 1994",1994,February,Friday,"Clarkston Police Department, GA",Georgia,0
Officer,Kenneth Wallace,Gunfire,"Friday, February 25, 1994",1994,February,Friday,"Hampton Police Department, VA",Virginia,0
Sergeant,John Louis Bagileo,Automobile crash,"Monday, February 28, 1994",1994,February,Monday,"Prince George's County Police Department, MD",Maryland,0
Officer,Wesley L. Silas,Struck by vehicle,"Tuesday, March 1, 1994",1994,March,Tuesday,"Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement, FL",Florida,0
Major,Cecil Spencer Guerry,Gunfire,"Wednesday, March 9, 1994",1994,March,Wednesday,"Georgetown Police Department, SC",South Carolina,0
Sergeant,Patrick Joseph Riley,Struck by vehicle,"Friday, March 11, 1994",1994,March,Friday,"Maricopa County Sheriff's Office, AZ",Arizona,0
Police Officer,Willie Samuel Smith,Vehicular assault,"Friday, March 11, 1994",1994,March,Friday,"Savannah Police Department, GA",Georgia,0
Deputy Sheriff,Terry Francis Hanson,Heart attack,"Friday, March 11, 1994",1994,March,Friday,"Rice County Sheriff's Department, MN",Minnesota,0
Police Officer,Sean A. McDonald,Gunfire,"Tuesday, March 15, 1994",1994,March,Tuesday,"New York City Police Department, NY",New York,0
Deputy Sheriff,Billy Keith Roberts,Automobile crash,"Friday, March 18, 1994",1994,March,Friday,"Hardin County Sheriff's Department, TX",Texas,0
Deputy,William James Bill Marie,Aircraft accident,"Saturday, March 19, 1994",1994,March,Saturday,"Lake County Sheriff's Office, FL",Florida,0
Police Officer,Benjamin Louis Short,Gunfire,"Friday, March 25, 1994",1994,March,Friday,"Detroit Police Department, MI",Michigan,0
Police Officer,Steven Alexis Hodge,Gunfire,"Sunday, March 27, 1994",1994,March,Sunday,"Virgin Islands Police Department, VI",U.S. Virgin Islands,0
Special Agent,David Elliott Sullivan,Automobile crash,"Thursday, March 31, 1994",1994,March,Thursday,"United States Department of the Treasury - Bureau of Alcohol, Tobacco and Firearms, US",United States,0
Officer,Jesse Don Moorman,Heart attack,"Thursday, March 31, 1994",1994,March,Thursday,"Fort Worth Police Department, TX",Texas,0
Group Supervisor,Arnold Castilleja Garcia,Assault,"Tuesday, April 5, 1994",1994,April,Tuesday,"Los Angeles County Probation Department, CA",California,0
Deputy,Craig Allen Dorwart,Automobile crash,"Tuesday, April 5, 1994",1994,April,Tuesday,"Morgan County Sheriff's Office, IL",Illinois,0
Corporal,James Joseph Silva,Automobile crash,"Sunday, April 10, 1994",1994,April,Sunday,"Shreveport Police Department, LA",Louisiana,0
Acting Chief,Isaac Benjamin Martinez,Gunfire,"Sunday, April 10, 1994",1994,April,Sunday,"Pueblo de San Ildefonso Tribal Police Department, TR",United States,0
Officer,Beth Haynes,Gunfire,"Saturday, April 16, 1994",1994,April,Saturday,"Boulder Police Department, CO",Colorado,0
Deputy Sheriff,"Melvin P. Brown, Jr.",Gunfire,"Monday, April 18, 1994",1994,April,Monday,"Leflore County Sheriff's Department, MS",Mississippi,0
Officer,Michael Tarone Hester,Gunfire,"Tuesday, April 19, 1994",1994,April,Tuesday,"Lilburn Police Department, GA",Georgia,0
Trooper,Randall Lamar Hester,Vehicle pursuit,"Wednesday, April 20, 1994",1994,April,Wednesday,"South Carolina Highway Patrol, SC",South Carolina,0
Police Officer,Jose Perez,Automobile crash,"Wednesday, April 27, 1994",1994,April,Wednesday,"New York City Police Department, NY",New York,0
Captain,James Lutz,Gunfire,"Thursday, April 28, 1994",1994,April,Thursday,"Waukesha Police Department, WI",Wisconsin,0
Officer,Fred G. Lampe,Heart attack,"Monday, May 2, 1994",1994,May,Monday,"Jacksonville Sheriff's Office, FL",Florida,0
Officer,Johnny Williams,Automobile crash,"Monday, May 2, 1994",1994,May,Monday,"Grambling Police Department, LA",Louisiana,0
Police Officer,Larry Douglas Bland,Gunfire,"Friday, May 13, 1994",1994,May,Friday,"Newport News Police Department, VA",Virginia,0
ALE Agent I,Troy Douglas Carr,Gunfire,"Saturday, May 14, 1994",1994,May,Saturday,"North Carolina Alcohol Law Enforcement Division, NC",North Carolina,0
Reserve Officer,Theodore Herman Brassinga,Gunfire (Inadvertent),"Sunday, May 15, 1994",1994,May,Sunday,"Palo Alto Police Department, CA",California,0
Trooper,Charles D. Warren,Gunfire,"Monday, May 16, 1994",1994,May,Monday,"Utah Highway Patrol, UT",Utah,0
Investigator,Ricky J. Parisian,Gunfire,"Friday, May 20, 1994",1994,May,Friday,"New York State Police, NY",New York,0
Deputy Sheriff,Jeffrey Neil Sheets,Gunfire,"Saturday, May 21, 1994",1994,May,Saturday,"Marathon County Sheriff's Office, WI",Wisconsin,0
Patrol Officer,Thomas Christian Wilson,Automobile crash,"Sunday, May 22, 1994",1994,May,Sunday,"Clinton Police Department, MS",Mississippi,0
Auxiliary Trooper,Phillip A. Mingione,Struck by vehicle,"Wednesday, May 25, 1994",1994,May,Wednesday,"Connecticut State Police, CT",Connecticut,0
Police Officer,Terry Jay Emerick,Automobile crash,"Wednesday, May 25, 1994",1994,May,Wednesday,"Illinois Commerce Commission Police, IL",Illinois,0
Sergeant,"William Maldonado, III",Fall,"Thursday, May 26, 1994",1994,May,Thursday,"San Antonio Independent School District Police Department, TX",Texas,0
Lieutenant,William Sibrava,Gunfire,"Friday, May 27, 1994",1994,May,Friday,"Bernalillo County Sheriff's Department, NM",New Mexico,0
Police Officer,Daniel Craig Duyst,Electrocuted,"Monday, May 30, 1994",1994,May,Monday,"Grand Rapids Police Department, MI",Michigan,0
Detective,Antonio Martinez Terry,Gunfire,"Saturday, June 4, 1994",1994,June,Saturday,"Seattle Police Department, WA",Washington,0
Patrolman,"Daniel John Calabrese, Jr.",Gunfire,"Sunday, June 12, 1994",1994,June,Sunday,"Winslow Township Police Department, NJ",New Jersey,0
Officer,Gary Wayne Heath,Gunfire,"Tuesday, June 14, 1994",1994,June,Tuesday,"Greenville Police Department, AL",Alabama,0
Officer,Kenneth E. Woodmore,Gunfire,"Friday, June 17, 1994",1994,June,Friday,"Inkster Police Department, MI",Michigan,0
Officer,William E. Lehn,Vehicle pursuit,"Tuesday, June 21, 1994",1994,June,Tuesday,"Fresno Police Department, CA",California,0
Officer,Miguel T. Soto,Gunfire,"Wednesday, June 22, 1994",1994,June,Wednesday,"Oakland Police Department, CA",California,0
Lieutenant,Coy N. Smith,Gunfire,"Tuesday, June 28, 1994",1994,June,Tuesday,"Alabama Public Service Commission, AL",Alabama,0
Deputy Sheriff,Len J. Rowell,Gunfire,"Tuesday, June 28, 1994",1994,June,Tuesday,"Pearl River County Sheriff's Department, MS",Mississippi,0
Detective Sergeant,Phillip D. Hochstetler,Gunfire,"Wednesday, June 29, 1994",1994,June,Wednesday,"Kosciusko County Sheriff's Department, IN",Indiana,0
Special Agent,Richard E. Fass,Gunfire,"Thursday, June 30, 1994",1994,June,Thursday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Park Ranger,Ryan Francis Weltman,Drowned,"Sunday, July 3, 1994",1994,July,Sunday,"United States Department of the Interior - National Park Service, US",United States,0
Correction Officer,Dennis Lee Stemen,Automobile crash,"Tuesday, July 5, 1994",1994,July,Tuesday,"Ohio Department of Rehabilitation and Correction, OH",Ohio,0
Officer,Richard Alan Maxwell,Gunfire,"Monday, July 11, 1994",1994,July,Monday,"California Highway Patrol, CA",California,0
Trooper,Bryon S. Egelski,Automobile crash,"Monday, July 11, 1994",1994,July,Monday,"Michigan State Police, MI",Michigan,0
Lieutenant,Michael J. Lutz,Gunfire,"Tuesday, July 12, 1994",1994,July,Tuesday,"Muskingum County Sheriff's Department, OH",Ohio,0
Patrolman,"William Lee Overton, Jr.",Automobile crash,"Wednesday, July 13, 1994",1994,July,Wednesday,"Charleston Police Department, WV",West Virginia,0
Officer,Bruce J. Van Popering,Struck by vehicle,"Sunday, July 17, 1994",1994,July,Sunday,"East Grand Rapids Department of Public Safety, MI",Michigan,0
Sergeant,Richard Lewis Willson,Heart attack,"Monday, July 25, 1994",1994,July,Monday,"Mineral County Sheriff's Office, NV",Nevada,0
Officer,Jackie Lamont Daniel,Automobile crash,"Thursday, July 28, 1994",1994,July,Thursday,"North Carolina Division of Motor Vehicles Enforcement Section, NC",North Carolina,0
Sergeant,Doyle Reed Thorne,Aircraft accident,"Saturday, July 30, 1994",1994,July,Saturday,"Utah Highway Patrol, UT",Utah,0
Park Ranger,Paul Matthew Pytel,Drowned,"Sunday, July 31, 1994",1994,July,Sunday,"San Antonio Park Police Department, TX",Texas,0
Officer,Craig Michael Hanking,Automobile crash,"Wednesday, August 3, 1994",1994,August,Wednesday,"Arlington Police Department, TX",Texas,0
Police Officer,Frankie Maldonado-Delgado,Gunfire,"Sunday, August 7, 1994",1994,August,Sunday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,"Charles Edward Osborne, Jr.",Gunfire,"Monday, August 8, 1994",1994,August,Monday,"Columbus Police Department, GA",Georgia,0
Sergeant,Dennis N. Glivar,Gunfire,"Sunday, August 14, 1994",1994,August,Sunday,"Garfield Heights Police Department, OH",Ohio,0
Sergeant,Marc A. Perse,Training accident,"Monday, August 15, 1994",1994,August,Monday,"Colorado Department of Corrections, CO",Colorado,0
Sergeant,James Kenneth Kinard,Gunfire,"Monday, August 15, 1994",1994,August,Monday,"Snohomish County Sheriff's Office, WA",Washington,0
Captain,Thomas M. Beahm,Automobile crash,"Wednesday, August 17, 1994",1994,August,Wednesday,"Wisconsin Department of Corrections, WI",Wisconsin,0
Trooper,Davidson Gould Whiting,Automobile crash,"Thursday, August 18, 1994",1994,August,Thursday,"Massachusetts State Police, MA",Massachusetts,0
Patrolman,Willis John Cole,Gunfire,"Friday, August 19, 1994",1994,August,Friday,"New Cumberland Borough Police Department, PA",Pennsylvania,0
Officer,John Patrick Harris,Automobile crash,"Friday, August 19, 1994",1994,August,Friday,"Henrico County Police Department, VA",Virginia,0
Officer,Thomas J. Giunta,Gunfire,"Wednesday, August 24, 1994",1994,August,Wednesday,"Fall River Police Department, MA",Massachusetts,0
Police Officer,Timothy James Jones,Gunfire,"Friday, August 26, 1994",1994,August,Friday,"St. Paul Police Department, MN",Minnesota,0
Police Officer,"Ronald Michael Ryan, Jr.",Gunfire,"Friday, August 26, 1994",1994,August,Friday,"St. Paul Police Department, MN",Minnesota,0
Trooper,Manuel H. Fields,Struck by vehicle,"Saturday, August 27, 1994",1994,August,Saturday,"Michigan State Police, MI",Michigan,0
Special Agent,Juan C. Vars,Aircraft accident,"Saturday, August 27, 1994",1994,August,Saturday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Special Agent,"Frank S. Wallace, Jr.",Aircraft accident,"Saturday, August 27, 1994",1994,August,Saturday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Special Agent,Meredith Thompson,Aircraft accident,"Saturday, August 27, 1994",1994,August,Saturday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Special Agent,Jay W. Seale,Aircraft accident,"Saturday, August 27, 1994",1994,August,Saturday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Special Agent,"Frank Fernandez, Jr.",Aircraft accident,"Saturday, August 27, 1994",1994,August,Saturday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Sergeant,Patrick Devon Thompson,Automobile crash,"Friday, September 2, 1994",1994,September,Friday,"Santa Cruz County Sheriff's Office, AZ",Arizona,0
Trooper,Mark S. Charbonnier,Gunfire,"Friday, September 2, 1994",1994,September,Friday,"Massachusetts State Police, MA",Massachusetts,0
Deputy Sheriff,Gregory Lee Hawks,Automobile crash,"Friday, September 2, 1994",1994,September,Friday,"Guilford County Sheriff's Office, NC",North Carolina,0
Senior Officer,Shane Russell Chadwick,Gunfire,"Wednesday, September 7, 1994",1994,September,Wednesday,"Great Falls Police Department, MT",Montana,0
Police Officer,Julio Andino-Rivera,Gunfire,"Wednesday, September 7, 1994",1994,September,Wednesday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,William Arthur Robertson,Gunfire,"Wednesday, September 7, 1994",1994,September,Wednesday,"Milwaukee Police Department, WI",Wisconsin,0
Sergeant,Timothy F. O'Brien,Automobile crash,"Saturday, September 10, 1994",1994,September,Saturday,"Paterson Police Department, NJ",New Jersey,0
Special Investigator,John Preston Madison,Automobile crash,"Sunday, September 11, 1994",1994,September,Sunday,"California Department of Motor Vehicles - Office of Investigations, CA",California,0
Police Officer,Todd Stanton Meriwether,Gunfire,"Sunday, September 11, 1994",1994,September,Sunday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Agent,Samuel Hidalgo-Cardona,Gunfire,"Monday, September 12, 1994",1994,September,Monday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,Roberto Martinez-Orozco,Gunfire,"Friday, September 16, 1994",1994,September,Friday,"Puerto Rico Police Department, PR",Puerto Rico,0
Officer,John Reid Sandifer,Motorcycle crash,"Sunday, September 18, 1994",1994,September,Sunday,"Jackson Police Department, MS",Mississippi,0
Officer,Terry Lynn Griffith,Gunfire,"Sunday, September 18, 1994",1994,September,Sunday,"Christiansburg Police Department, VA",Virginia,0
Sheriff,Roy Luke Bassett,Gunfire,"Friday, September 23, 1994",1994,September,Friday,"Maries County Sheriff's Office, MO",Missouri,0
Sergeant,Ronald L. Yeazel,Gunfire,"Monday, September 26, 1994",1994,September,Monday,"Hope Mills Police Department, NC",North Carolina,0
Sergeant,Timothy Alan Simenson,Gunfire,"Wednesday, September 28, 1994",1994,September,Wednesday,"Crest Hill Police Department, IL",Illinois,0
Detective,"George Clifford Cavill, Jr.",Heart attack,"Thursday, September 29, 1994",1994,September,Thursday,"Wayne Police Department, NJ",New Jersey,0
Sergeant,James Russell Ward,Gunfire,"Monday, October 3, 1994",1994,October,Monday,"Montgomery Police Department, AL",Alabama,0
Sergeant,James Stanwood Noyes,Gunfire,"Monday, October 3, 1994",1994,October,Monday,"New Hampshire State Police, NH",New Hampshire,0
Trooper,Randy K. Ingram,Automobile crash,"Wednesday, October 5, 1994",1994,October,Wednesday,"Utah Highway Patrol, UT",Utah,0
Sheriff,Melvin Roof,Heart attack,"Tuesday, October 11, 1994",1994,October,Tuesday,"Putnam County Sheriff's Office, MO",Missouri,0
Deputy Sheriff,Robert Scott Miller,Gunfire,"Tuesday, October 11, 1994",1994,October,Tuesday,"Cocke County Sheriff's Office, TN",Tennessee,0
Deputy Commissioner,Claude Everett Swackhammer,Aircraft accident,"Tuesday, October 11, 1994",1994,October,Tuesday,"Alaska Department of Public Safety, AK",Alaska,0
Sergeant,Robert Lee Bittick,Aircraft accident,"Tuesday, October 11, 1994",1994,October,Tuesday,"Alaska State Troopers, AK",Alaska,0
Police Officer,Charles Dean Heim,Gunfire,"Saturday, October 22, 1994",1994,October,Saturday,"Los Angeles Police Department, CA",California,0
Warden,"Charles Andrew Farquhar, Jr.",Assault,"Sunday, October 23, 1994",1994,October,Sunday,"Alabama Department of Corrections, AL",Alabama,0
Agent,Lori Dean Thomas,Vehicle pursuit,"Sunday, October 23, 1994",1994,October,Sunday,"Oklahoma Alcoholic Beverage Laws Enforcement Commission, OK",Oklahoma,0
Sergeant,Martin Joseph Hudson,Drowned,"Friday, October 28, 1994",1994,October,Friday,"United States Department of Defense - Philadelphia Naval Base Police, US",United States,0
Police Officer,Ronald Ennis Hedbany,Gunfire,"Friday, October 28, 1994",1994,October,Friday,"Glendale Police Department, WI",Wisconsin,0
Officer,Michael A. Osornio,Vehicular assault,"Monday, October 31, 1994",1994,October,Monday,"La Habra Police Department, CA",California,0
Deputy Sheriff,Thomas Robert Lewis,Gunfire,"Tuesday, November 1, 1994",1994,November,Tuesday,"Madison County Sheriff's Office, AL",Alabama,0
Patrolman,Lawrence Karl King,Gunfire,"Tuesday, November 1, 1994",1994,November,Tuesday,"Indianola Police Department, MS",Mississippi,0
Agent,Ivan Mejias Hernandez,Gunfire,"Tuesday, November 1, 1994",1994,November,Tuesday,"Puerto Rico Police Department, PR",Puerto Rico,0
Deputy,Edward Monroe Evans,Struck by vehicle,"Friday, November 4, 1994",1994,November,Friday,"Jackson County Sheriff's Office, GA",Georgia,0
Patrolman,George R. Knaff,Vehicular assault,"Saturday, November 5, 1994",1994,November,Saturday,"Akron Police Department, OH",Ohio,0
Major,Rufus Gates,Gunfire (Inadvertent),"Monday, November 7, 1994",1994,November,Monday,"Memphis Police Department, TN",Tennessee,0
Deputy Sheriff,Mark Steven Kemp,Exposure to toxins,"Wednesday, November 9, 1994",1994,November,Wednesday,"Riverside County Sheriff's Department, CA",California,0
Deputy,Troy M. Babin,Aircraft accident,"Saturday, November 12, 1994",1994,November,Saturday,"Osceola County Sheriff's Office, FL",Florida,0
Correctional Officer,William Diaz-Pagan,Gunfire,"Saturday, November 12, 1994",1994,November,Saturday,"Puerto Rico Department of Corrections and Rehabilitation, PR",Puerto Rico,0
Police Officer,David Michael Healy,Automobile crash,"Saturday, November 12, 1994",1994,November,Saturday,"Houston Police Department, TX",Texas,0
Trooper,Jeffrey Parola,Automobile crash,"Sunday, November 13, 1994",1994,November,Sunday,"Maine State Police, ME",Maine,0
Officer,James Louis Guelff,Gunfire,"Monday, November 14, 1994",1994,November,Monday,"San Francisco Police Department, CA",California,0
Correctional Officer,Louis Steven Perrine,Accidental,"Thursday, November 17, 1994",1994,November,Thursday,"Oregon Department of Corrections, OR",Oregon,0
Sheriff,Roger David Coursey,Gunfire,"Friday, November 18, 1994",1994,November,Friday,"Hinsdale County Sheriff's Office, CO",Colorado,0
Patrolman,"Jerry Von Wingo, Jr.",Automobile crash,"Friday, November 18, 1994",1994,November,Friday,"Portageville Police Department, MO",Missouri,0
Police Officer,John J. Venus,Automobile crash,"Sunday, November 20, 1994",1994,November,Sunday,"Suffolk County Police Department, NY",New York,0
Sergeant,Henry Joseph Hank Daly,Gunfire,"Tuesday, November 22, 1994",1994,November,Tuesday,"Metropolitan Police Department, DC",District of Columbia,0
Special Agent,Michael John Miller,Gunfire,"Tuesday, November 22, 1994",1994,November,Tuesday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Special Agent,Martha Dixon Martinez,Gunfire,"Tuesday, November 22, 1994",1994,November,Tuesday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Investigator,Carlos J. Diaz-Martinez,Gunfire,"Saturday, November 26, 1994",1994,November,Saturday,"Puerto Rico Police Department, PR",Puerto Rico,0
Officer,Steven Paul Pollard,Struck by vehicle,"Sunday, November 27, 1994",1994,November,Sunday,"Mesa Police Department, AZ",Arizona,0
Police Officer,Michael A. Niehoff,Automobile crash,"Wednesday, November 30, 1994",1994,November,Wednesday,"Milwaukee Police Department, WI",Wisconsin,0
Deputy Sheriff,Robert Ray Anderson,Gunfire,"Thursday, December 1, 1994",1994,December,Thursday,"Multnomah County Sheriff's Office, OR",Oregon,0
Police Officer,"Raymond R. Cannon, Jr.",Gunfire,"Friday, December 2, 1994",1994,December,Friday,"New York City Police Department, NY",New York,0
Police Officer,Joseph Charles Friel,Vehicular assault,"Sunday, December 4, 1994",1994,December,Sunday,"Philadelphia Police Department, PA",Pennsylvania,0
Deputy,Clifford Ernest Dicker,Gunfire,"Tuesday, December 6, 1994",1994,December,Tuesday,"Wythe County Sheriff's Office, VA",Virginia,0
Chief Deputy,William M. Lark,Automobile crash,"Wednesday, December 7, 1994",1994,December,Wednesday,"Holt County Sheriff's Office, MO",Missouri,0
Reserve Deputy,"Fred Feuser, Jr.",Gunfire,"Wednesday, December 7, 1994",1994,December,Wednesday,"Camden County Sheriff's Office, MO",Missouri,0
Patrolman,Robert A. Stefanov,Vehicle pursuit,"Thursday, December 8, 1994",1994,December,Thursday,"Garfield Heights Police Department, OH",Ohio,0
Patrolman,Michael W. Brown,Vehicle pursuit,"Thursday, December 8, 1994",1994,December,Thursday,"Garfield Heights Police Department, OH",Ohio,0
Correctional Officer,Phillip K. Curry,Stabbed,"Tuesday, December 13, 1994",1994,December,Tuesday,"Indiana Department of Correction, IN",Indiana,0
Officer,Scott Anthony Flahive,Gunfire,"Tuesday, December 13, 1994",1994,December,Tuesday,"Grand Haven Department of Public Safety, MI",Michigan,0
Senior Corporal,Thomas Dale Bond,Gunfire,"Tuesday, December 13, 1994",1994,December,Tuesday,"Dallas Police Department, TX",Texas,0
Sergeant,Gregory Phillip Howard,Struck by vehicle,"Friday, December 16, 1994",1994,December,Friday,"Floyd County Police Department, GA",Georgia,0
Officer,Thomas Benton Worley,Gunfire,"Wednesday, December 21, 1994",1994,December,Wednesday,"Los Angeles County Safety Police, CA",California,0
Police Officer,Luis A. Ortiz-Perez,Motorcycle crash,"Wednesday, December 21, 1994",1994,December,Wednesday,"Puerto Rico Police Department, PR",Puerto Rico,0
Correctional Officer,D'Antonio Andrew Washington,Assault,"Thursday, December 22, 1994",1994,December,Thursday,"United States Department of Justice - Federal Bureau of Prisons, US",United States,0
Patrol Officer,David L. Brower,Motorcycle crash,"Thursday, December 29, 1994",1994,December,Thursday,"Fort Lauderdale Police Department, FL",Florida,0
Sergeant,Bruce Owens,Gunfire,"Thursday, December 29, 1994",1994,December,Thursday,"Rhea County Sheriff's Department, TN",Tennessee,0
Agent,Octoniel Torres-Melendez,Gunfire,"Friday, December 30, 1994",1994,December,Friday,"Puerto Rico Police Department, PR",Puerto Rico,0
Trooper,Troy Merle Hogue,Gunfire,"Friday, December 30, 1994",1994,December,Friday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
K9,Kai,Gunfire,"Saturday, March 5, 1994",1994,March,Saturday,"Bannock County Sheriff's Department, ID",Idaho,1
K9,Laser,Gunfire,"Friday, August 26, 1994",1994,August,Friday,"St. Paul Police Department, MN",Minnesota,1
K9,Dax,Gunfire,"Thursday, October 20, 1994",1994,October,Thursday,"Phoenix Police Department, AZ",Arizona,1
K9,Bruno,Struck by vehicle,"Thursday, November 17, 1994",1994,November,Thursday,"Bullhead City Police Department, AZ",Arizona,1
Border Patrol Agent,Jose Angel Nava,Automobile crash,"Saturday, January 7, 1995",1995,January,Saturday,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US",United States,0
Lieutenant,Robert Boud,Assault,"Sunday, January 8, 1995",1995,January,Sunday,"Essex County Department of Corrections, NJ",New Jersey,0
Coast Guardsman,Jonathan D. Scotchmer,Fall,"Monday, January 9, 1995",1995,January,Monday,"United States Coast Guard Office of Law Enforcement, US",United States,0
